T,o,h,l,c,v
1768402799999,3302.2,3358.2,3301.4,3348.7,76703.6338
1768406399999,3348.7,3361.9,3327.4,3345.1,41546.569
1768409999999,3344.9,3403.3,3344.5,3369.7,67241.0616
1768413599999,3369.6,3381.7,3338.2,3342.4,43763.4192
1768417199999,3342.4,3354,3316.2,3339.1,34611.9567
1768420799999,3339.1,3400,3332.1,3367.3,27264.8711
1768424399999,3367.5,3392.9,3362,3383,29720.4348
1768427999999,3383.1,3383.1,3355.8,3372.3,20288.3539
1768431599999,3372.4,3374,3347.8,3349.3,28985.5728
1768435199999,3349.4,3369.3,3349,3354.5,6982.6899
1768438799999,3354.6,3355.5,3325,3331.1,21938.5012
1768442399999,3331.1,3342.4,3317.4,3324.2,21759.7486
1768445999999,3324.2,3331.9,3305,3313.4,16010.9692
1768449599999,3313.5,3321.1,3278,3285.8,15440.6581
1768453199999,3285.9,3308.3,3284.2,3304.9,7384.9313
1768456799999,3305,3315.5,3302.4,3311.4,6234.2752
1768460399999,3311.3,3323.4,3310,3315.7,6764.7912
1768463999999,3315.8,3335.1,3314.4,3329.8,7880.1265
1768467599999,3329.8,3338.2,3320,3336.3,4803.7108
1768471199999,3336.4,3373.9,3330.1,3366,21322.0835
1768474799999,3366.2,3378,3357.2,3363.9,13846.6245
1768478399999,3364,3365.7,3347.3,3349.6,4968.807
1768481999999,3349.5,3371,3344.1,3369,14710.8065
1768485599999,3369,3384.8,3356.8,3371.4,11596.6092
1768489199999,3371.4,3382.7,3324,3342.8,67585.2777
1768492799999,3342.7,3357.9,3286,3332,46837.6672
1768496399999,3331.4,3335,3310,3330.7,29388.8831
1768499999999,3330.2,3337.2,3297.7,3301.6,14789.4795
1768503599999,3300.8,3308.2,3274.7,3289,29929.0003
1768507199999,3288.4,3302,3278,3296.1,25180.5677
1768510799999,3296,3307.1,3276.2,3287.6,35730.0389
1768514399999,3287.6,3306.1,3284.4,3299.2,13401.6555
1768517999999,3299.3,3318.5,3295.7,3308.6,8893.8001
1768521599999,3308.6,3322.5,3301.8,3318.2,6387.1839
1768525199999,3318.2,3326.3,3316.1,3316.5,5191.6075
1768528799999,3316.5,3321.1,3301.3,3313.4,5897.3544
1768532399999,3313.4,3313.5,3291,3302.9,10511.3579
1768535999999,3303,3307.5,3294.4,3294.4,2958.8462
1768539599999,3294.5,3303.8,3276.8,3287.1,9715.2007
1768543199999,3287,3315.5,3283.7,3308.4,9047.8072
1768546799999,3308.5,3316.1,3301.6,3313,8899.6646
1768550399999,3313.1,3315.5,3301.1,3308.9,3787.6562
1768553999999,3308.9,3319.1,3307.8,3312.5,5741.0227
1768557599999,3312.7,3316,3306.4,3306.9,2735.4513
1768561199999,3306.9,3308,3294.8,3296.8,5918.2277
1768564799999,3296.9,3306,3293.6,3301.4,4618.7739
